,51 B off,,,,,51 B on,,,,,51 Z off,,,,,51 Z on,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
655,0,0,33,6,4,0,0,27,5,6,0,0,26,5,7,0,0,37,7,5
660,0,0,33,6,5,0,0,27,5,7,0,0,26,5,8,0,0,37,7,5
665,0,0,34,6,5,0,0,28,5,7,0,0,27,5,8,0,0,38,7,5
670,0,0,34,6,4,0,0,28,5,6,0,0,27,5,7,0,0,38,7,5
675,0,0,35,6,4,0,0,29,5,6,0,0,28,5,7,0,0,40,7,5
680,0,0,35,6,5,0,0,28,5,7,0,0,28,5,8,0,0,39,7,5
685,0,0,35,6,5,0,0,29,5,7,0,0,28,5,8,0,0,40,7,5
690,0,0,35,6,5,0,0,29,5,7,0,0,28,5,8,0,0,40,7,5
695,0,0,36,6,4,0,0,29,5,6,0,0,29,5,7,0,0,40,7,5
700,0,0,36,6,4,0,0,30,5,6,0,0,29,5,7,0,0,41,7,5
705,0,0,35,6,4,0,0,29,5,6,0,0,28,5,7,0,0,40,7,5
710,0,0,35,6,4,0,0,28,5,6,0,0,28,5,7,0,0,39,7,5
715,0,0,34,6,4,0,0,28,5,5,0,0,27,5,6,0,0,39,6,4
720,0,0,35,6,4,0,0,28,5,5,0,0,28,5,6,0,0,39,6,4
725,0,0,37,6,4,0,0,31,5,5,0,0,30,5,6,0,0,42,6,4
730,0,0,40,6,4,0,0,33,5,5,0,0,32,5,6,0,0,46,6,4
735,0,0,41,6,4,0,0,34,5,6,0,0,33,5,7,0,0,46,6,5
740,0,1,40,6,4,0,1,33,5,6,0,1,32,5,7,0,1,45,6,5
745,0,0,39,6,4,0,0,32,5,6,0,0,31,5,7,0,0,44,6,5
750,0,0,38,6,4,0,0,31,5,5,0,0,31,5,6,0,0,43,6,4
755,0,0,39,5,3,0,0,32,4,5,0,0,31,4,6,0,0,44,6,4
760,0,0,39,5,4,0,0,32,4,5,0,0,31,4,6,0,0,44,6,4
765,0,0,39,5,4,0,0,32,4,6,0,0,31,4,7,0,0,44,6,5
770,0,0,39,5,4,0,0,32,4,5,0,0,31,4,6,0,0,44,6,4
775,0,0,40,6,3,0,0,32,5,5,0,0,32,5,6,0,0,45,6,4
780,0,0,41,6,4,0,0,33,5,6,0,0,33,5,7,0,0,46,6,5
785,0,0,43,6,4,0,0,35,5,5,0,0,34,5,6,0,0,48,6,4
790,0,0,43,6,4,0,0,35,5,5,0,0,35,5,6,0,0,49,7,4
795,0,0,44,6,4,0,0,36,5,6,0,0,35,5,7,0,0,50,7,5
800,0,0,43,6,4,0,0,35,5,6,0,0,35,5,7,0,0,49,7,5
805,0,0,44,6,4,0,0,36,5,6,0,0,35,5,7,0,0,49,7,5
810,0,0,43,6,5,0,0,35,5,7,0,0,35,5,8,0,0,49,7,5
815,0,0,43,6,4,0,0,35,5,6,0,0,34,5,7,0,0,48,7,5
820,0,0,42,7,5,0,0,34,5,7,0,0,34,5,8,0,0,47,7,6
825,0,0,41,6,5,0,0,34,5,7,0,0,33,5,8,0,0,47,7,5
830,0,0,41,7,4,0,0,33,5,6,0,0,33,5,7,0,0,46,7,5
835,0,0,40,7,5,0,0,33,5,7,0,0,32,5,8,0,0,46,7,5
840,0,0,39,6,5,0,0,32,5,7,0,0,31,5,8,0,0,44,7,6
845,0,0,40,7,5,0,0,32,5,7,0,0,32,5,8,0,0,45,7,5
850,0,0,41,6,5,0,0,34,5,7,0,0,33,5,8,0,0,46,7,5
855,0,0,42,7,5,0,0,34,5,7,0,0,34,5,8,0,0,47,7,5
860,0,1,42,6,5,0,1,34,5,7,0,1,34,5,8,0,1,47,7,5
865,0,0,45,7,4,0,0,36,5,6,0,0,36,5,7,0,0,50,7,5
870,0,1,44,6,4,0,1,36,5,6,0,1,36,5,7,0,1,50,7,5
875,0,1,44,7,4,0,1,36,6,6,0,1,36,6,7,0,1,50,8,5
880,0,1,45,7,4,0,1,37,5,6,0,1,36,5,7,0,1,51,7,5
885,0,0,45,7,4,0,0,37,5,6,0,0,36,5,7,0,0,51,7,5
890,0,1,44,7,4,0,1,36,5,6,0,1,36,5,7,0,1,50,7,5
895,0,1,43,7,4,0,1,35,5,6,0,1,35,5,7,0,1,49,7,5
900,0,1,43,7,4,0,1,35,5,6,0,1,34,5,7,0,1,48,7,5
905,0,1,43,7,4,0,1,35,5,6,0,1,35,5,7,0,1,49,7,5
910,0,1,45,7,4,0,1,36,5,6,0,1,36,5,7,0,1,50,7,5
915,0,1,46,7,4,0,1,38,5,6,0,1,37,5,7,0,1,52,7,5
920,0,1,47,7,4,0,1,38,5,6,0,1,38,5,7,0,1,53,7,5
925,0,1,49,7,4,0,1,40,6,6,0,1,39,6,7,0,1,55,8,5
930,0,1,49,7,4,0,1,40,6,6,0,1,39,6,7,0,1,55,8,5
935,0,1,49,7,4,0,1,40,6,6,0,1,39,6,7,0,1,55,8,5
940,0,1,50,7,4,0,1,41,6,5,0,1,40,6,6,0,1,56,8,4
945,0,1,50,7,3,0,1,41,6,5,0,1,40,6,6,0,1,57,8,4
950,0,1,50,7,3,0,1,41,6,5,0,1,40,6,6,0,1,57,8,4
955,0,1,51,8,3,0,1,42,6,5,0,1,41,6,6,0,1,58,9,4
960,0,1,52,8,3,0,1,43,6,5,0,1,42,6,6,0,1,59,9,4
965,0,1,56,8,3,0,1,45,6,5,0,1,45,6,6,0,1,63,9,4
970,0,1,59,8,3,0,1,48,6,4,0,1,47,6,5,0,1,66,9,4
975,0,1,60,8,3,0,1,49,6,4,0,1,48,6,5,0,1,68,9,4
980,0,1,61,8,3,0,1,50,6,4,0,1,49,6,5,0,1,69,9,4
985,0,1,61,8,3,0,1,50,6,4,0,1,49,6,5,0,1,69,9,4
990,0,1,61,8,3,0,1,50,7,4,0,1,49,7,5,0,1,69,9,3
995,0,1,62,8,3,0,1,50,6,4,0,1,49,6,5,0,1,70,9,3
1000,0,1,62,8,3,0,1,50,6,4,0,1,49,6,5,0,1,70,9,3
1005,0,1,62,8,3,0,1,51,6,4,0,1,50,6,4,0,1,70,9,3
1010,0,1,63,8,3,0,1,51,6,4,0,1,50,6,4,0,1,71,9,3
1015,0,1,61,7,3,0,1,50,6,4,0,1,49,6,4,0,1,69,8,3
1020,0,1,63,7,2,0,1,51,6,3,0,1,50,6,4,0,1,71,8,3
1025,0,1,65,7,2,0,1,53,6,3,0,1,52,6,4,0,1,73,8,3
1030,0,1,66,7,2,0,1,54,5,3,0,1,53,5,4,0,1,74,7,3
1035,0,1,67,6,2,0,1,55,5,3,0,1,54,5,4,0,1,76,7,3
1040,0,1,68,7,2,0,1,55,5,3,0,1,54,5,4,0,1,76,7,3
1045,0,1,67,6,2,0,1,54,5,3,0,1,53,5,3,0,1,75,7,2
1050,0,1,66,6,2,0,1,54,5,3,0,1,53,5,3,0,1,74,7,2
1055,0,1,65,6,2,0,1,53,5,3,0,1,52,5,3,0,1,73,6,2
1060,0,1,64,5,2,0,1,52,4,3,0,1,52,4,3,0,1,73,6,2
1065,0,1,63,6,2,0,1,52,5,3,0,1,51,5,3,0,1,71,6,2
1070,0,1,62,5,2,0,1,50,4,3,0,1,49,4,3,0,1,70,6,2
1075,0,1,59,5,2,0,1,48,4,3,0,1,48,4,3,0,1,67,6,2
1080,0,1,58,5,2,0,1,47,4,3,0,1,47,4,4,0,1,65,6,3
1085,0,1,56,5,2,0,1,46,4,3,0,1,45,4,3,0,1,63,6,2
1090,0,1,56,5,2,0,1,46,4,3,0,1,45,4,3,0,1,64,5,2
1095,0,1,56,5,2,0,1,45,4,3,0,1,45,4,3,0,1,63,5,2
1100,0,1,54,4,2,0,1,44,4,3,0,1,44,3,3,0,1,61,5,2
1105,0,1,53,4,2,0,1,44,4,3,0,1,43,3,3,0,1,60,5,2
1110,0,1,52,4,2,0,1,42,4,3,0,1,42,3,3,0,1,59,5,2
1115,0,1,51,4,2,0,1,41,3,3,0,1,41,3,3,0,1,57,4,2
1120,0,1,50,4,2,0,1,41,3,2,0,1,40,3,3,0,1,56,4,2
1125,0,1,49,4,1,0,1,40,3,2,0,1,39,3,2,0,1,55,4,1
1130,0,1,46,4,1,0,1,38,3,2,0,1,37,3,2,0,1,52,4,1
1135,0,1,44,3,2,0,1,36,3,2,0,1,35,3,3,0,1,50,4,2
1140,0,1,42,3,2,0,1,34,3,2,0,1,34,3,3,0,1,47,4,2
1145,0,1,41,3,2,0,1,34,3,2,0,1,33,3,3,0,1,46,4,2
1150,0,0,41,3,1,0,0,34,3,2,0,0,33,3,2,0,0,46,4,1
1155,0,0,40,3,1,0,0,32,2,1,0,0,32,2,1,0,0,45,3,1
1160,0,0,37,3,1,0,0,31,2,1,0,0,30,2,1,0,0,42,3,1
1165,0,0,38,3,1,0,0,31,2,1,0,0,30,2,1,0,0,43,3,1
1170,0,0,36,3,1,0,0,29,2,1,0,0,29,2,1,0,0,40,3,1
1175,0,0,34,3,1,0,0,28,2,1,0,0,28,2,1,0,0,39,3,1
1180,0,0,32,3,1,0,0,26,2,1,0,0,26,2,1,0,0,37,3,1
1185,0,0,31,3,1,0,0,26,2,1,0,0,25,2,1,0,0,36,3,1
1190,0,0,30,2,1,0,0,24,2,1,0,0,24,2,1,0,0,34,3,1
1195,0,0,28,2,0,0,0,23,2,1,0,0,23,2,1,0,0,32,3,1
1200,0,0,28,2,1,0,0,23,2,1,0,0,23,2,1,0,0,32,3,1
1205,0,0,27,2,1,0,0,22,2,1,0,0,22,2,1,0,0,31,3,1
1210,0,0,27,2,1,0,0,22,2,1,0,0,22,2,1,0,0,31,3,1
1215,0,0,28,2,1,0,0,23,2,1,0,0,22,2,1,0,0,31,2,1
1220,0,0,27,2,1,0,0,22,2,1,0,0,22,2,1,0,0,31,3,1
1225,0,0,27,2,0,0,0,22,2,1,0,0,22,2,1,0,0,30,2,1
1230,0,0,25,2,0,0,0,21,2,1,0,0,20,2,1,0,0,28,3,1
1235,0,0,25,2,0,0,0,20,2,1,0,0,20,2,1,0,0,28,3,1
1240,0,0,25,2,0,0,0,20,2,0,0,0,20,2,0,0,0,28,2,0
1245,0,0,24,2,0,0,0,20,2,1,0,0,19,2,1,0,0,27,3,1
1250,0,0,24,2,0,0,0,19,2,1,0,0,19,2,1,0,0,27,2,1
1255,0,0,23,2,0,0,0,19,1,0,0,0,19,1,0,0,0,26,2,0
1260,0,0,23,2,0,0,0,19,1,0,0,0,19,1,0,0,0,26,2,0
1265,0,0,23,2,0,0,0,19,1,0,0,0,18,1,0,0,0,26,2,0
1270,0,0,23,2,0,0,0,19,1,0,0,0,19,1,0,0,0,26,2,0
1275,0,0,23,2,0,0,0,19,1,0,0,0,18,1,0,0,0,26,2,0
1280,0,0,23,2,0,0,0,19,1,0,0,0,19,1,0,0,0,26,2,0
1285,0,0,23,2,0,0,0,19,1,0,0,0,18,1,0,0,0,26,2,0
1290,0,0,23,1,0,0,0,19,1,0,0,0,18,1,0,0,0,26,1,0
1295,0,0,22,1,0,0,0,18,1,0,0,0,18,1,0,0,0,25,1,0
