,49 B off,,,,,49 B on,,,,,49 Z off,,,,,49 Z on,,,,,,,,,,,,,,,,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,,,,,,,,,,,,,,,
415,0,0,50,7,4,0,0,65,10,5,0,0,66,10,5,0,0,50,7,3,,,,,,,,,,,,,,,
420,0,0,49,7,4,0,0,63,10,5,0,0,64,10,5,0,0,49,7,3,,,,,,,,,,,,,,,
425,0,1,49,8,4,0,1,64,10,6,0,1,65,10,5,0,1,49,8,4,,,,,,,,,,,,,,,
430,0,1,51,8,4,0,1,66,10,6,0,1,67,10,6,0,1,51,8,4,,,,,,,,,,,,,,,
435,0,0,50,8,4,0,0,65,10,7,0,0,66,11,6,0,0,50,8,4,,,,,,,,,,,,,,,
440,0,0,50,8,4,0,0,65,10,7,0,0,66,10,6,0,0,50,8,4,,,,,,,,,,,,,,,
445,0,0,48,8,4,0,0,63,10,7,0,0,64,10,6,0,0,49,8,4,,,,,,,,,,,,,,,
450,0,0,47,8,5,0,0,61,10,7,0,0,62,10,7,0,0,47,8,4,,,,,,,,,,,,,,,
455,0,0,47,7,5,0,0,61,10,7,0,0,62,10,7,0,0,47,7,5,,,,,,,,,,,,,,,
460,0,0,46,8,5,0,0,60,10,8,0,0,61,11,8,0,0,47,8,5,,,,,,,,,,,,,,,
465,0,0,45,7,5,0,0,58,9,8,0,0,59,10,8,0,0,45,7,5,,,,,,,,,,,,,,,
470,0,0,43,7,5,0,0,56,10,8,0,0,57,10,8,0,0,43,7,5,,,,,,,,,,,,,,,
475,0,0,40,7,5,0,0,52,9,7,0,0,53,9,7,0,0,40,7,5,,,,,,,,,,,,,,,
480,0,0,37,6,5,0,0,48,8,8,0,0,49,8,8,0,0,37,6,5,,,,,,,,,,,,,,,
485,0,0,37,6,5,0,0,48,8,8,0,0,49,8,8,0,0,37,6,5,,,,,,,,,,,,,,,
490,0,0,38,6,5,0,0,50,8,7,0,0,51,8,7,0,0,39,6,5,,,,,,,,,,,,,,,
495,0,0,38,6,5,0,0,49,7,7,0,0,50,7,7,0,0,38,6,5,,,,,,,,,,,,,,,
500,0,0,38,6,5,0,0,49,7,7,0,0,50,7,7,0,0,38,6,5,,,,,,,,,,,,,,,
505,0,0,37,5,5,0,0,48,7,7,0,0,49,7,7,0,0,37,5,5,,,,,,,,,,,,,,,
510,0,0,36,5,5,0,0,46,7,8,0,0,47,7,8,0,0,36,5,5,,,,,,,,,,,,,,,
515,0,0,36,5,5,0,0,47,7,7,0,0,48,7,7,0,0,37,5,5,,,,,,,,,,,,,,,
520,0,0,36,5,5,0,0,47,7,8,0,0,48,7,8,0,0,36,5,5,,,,,,,,,,,,,,,
525,0,0,35,5,5,0,0,46,7,7,0,0,46,7,7,0,0,35,5,5,,,,,,,,,,,,,,,
530,0,0,33,5,5,0,0,43,6,7,0,0,44,7,7,0,0,33,5,5,,,,,,,,,,,,,,,
535,0,0,30,5,4,0,0,40,6,7,0,0,40,6,6,0,0,30,5,4,,,,,,,,,,,,,,,
540,0,0,29,5,5,0,0,38,6,7,0,0,39,6,7,0,0,29,5,5,,,,,,,,,,,,,,,
545,0,0,30,4,5,0,0,38,5,7,0,0,39,6,7,0,0,30,4,4,,,,,,,,,,,,,,,
550,0,0,31,4,4,0,0,40,6,6,0,0,41,6,6,0,0,31,4,4,,,,,,,,,,,,,,,
555,0,0,31,5,4,0,0,41,6,6,0,0,41,6,6,0,0,31,5,4,,,,,,,,,,,,,,,
560,0,0,31,5,4,0,0,41,6,6,0,0,41,6,6,0,0,31,5,4,,,,,,,,,,,,,,,
565,0,0,32,5,5,0,0,42,6,8,0,0,42,6,8,0,0,32,5,5,,,,,,,,,,,,,,,
570,0,0,32,5,5,0,0,42,6,7,0,0,42,6,7,0,0,32,5,4,,,,,,,,,,,,,,,
575,0,0,33,5,4,0,0,43,6,7,0,0,44,7,6,0,0,33,5,4,,,,,,,,,,,,,,,
580,0,0,34,5,5,0,0,44,7,7,0,0,45,7,7,0,0,34,5,5,,,,,,,,,,,,,,,
585,0,0,33,5,5,0,0,43,6,7,0,0,44,7,7,0,0,33,5,5,,,,,,,,,,,,,,,
590,0,0,32,5,5,0,0,42,6,7,0,0,43,7,7,0,0,32,5,5,,,,,,,,,,,,,,,
595,0,0,31,5,5,0,0,40,6,8,0,0,41,6,8,0,0,31,5,5,,,,,,,,,,,,,,,
600,0,0,31,5,5,0,0,40,6,8,0,0,40,7,8,0,0,31,5,5,,,,,,,,,,,,,,,
605,0,0,32,5,5,0,0,42,6,7,0,0,42,6,7,0,0,32,5,5,,,,,,,,,,,,,,,
610,0,0,32,5,5,0,0,42,7,8,0,0,43,7,8,0,0,32,5,5,,,,,,,,,,,,,,,
615,0,0,32,5,5,0,0,42,6,7,0,0,43,7,7,0,0,32,5,5,,,,,,,,,,,,,,,
